,SBGA_DaS,SBS_GA
0,7.760644894608376e-06,1.9000000000000018e-05
1,6.794105986466085e-06,1.9000000000000018e-05
2,6.793869250658945e-06,1.6999999999999993e-05
3,5.710660760944094e-06,1.6999999999999993e-05
4,6.295222038752484e-06,1.6999999999999993e-05
5,6.80605746730844e-06,2.000000000000001e-05
6,6.30392294771032e-06,2.000000000000001e-05
7,6.0113835152205e-06,2.1000000000000002e-05
8,6.326341964725887e-06,2.300000000000001e-05
9,5.9356567082325595e-06,1.8e-05
10,6.243883066346639e-06,1.9000000000000018e-05
11,6.1733945177885804e-06,1.6000000000000006e-05
12,5.8162264801537016e-06,1.8e-05
13,5.91440498114293e-06,1.8e-05
14,6.2108914012512195e-06,2.000000000000001e-05
15,6.240475806965178e-06,1.9000000000000018e-05
16,5.471924734206496e-06,1.6999999999999993e-05
17,6.010150855995111e-06,1.9000000000000018e-05
18,5.032600852958546e-06,2.000000000000001e-05
19,5.597028180738107e-06,1.6999999999999993e-05
20,5.071341954366004e-06,1.8e-05
21,5.116539158559738e-06,1.6999999999999993e-05
22,6.017088917990494e-06,1.6999999999999993e-05
23,5.437477262755346e-06,1.6999999999999993e-05
24,4.491636137393958e-06,1.9000000000000018e-05
25,5.23591556062906e-06,1.8e-05
26,4.515080141038679e-06,1.6999999999999993e-05
27,4.533798765548518e-06,1.6999999999999993e-05
28,4.831456671200934e-06,1.9000000000000018e-05
29,4.469799282123062e-06,1.8e-05
30,4.0967811685896075e-06,1.8e-05
31,4.624143309273305e-06,1.4999999999999995e-05
32,4.0141787934775446e-06,1.6999999999999993e-05
33,4.051287176929694e-06,1.8e-05
34,3.943268340857473e-06,1.6999999999999993e-05
35,3.5620944234243355e-06,1.9000000000000018e-05
36,3.5153612598027746e-06,1.8e-05
37,3.581904202880331e-06,1.9000000000000018e-05
38,4.05156111334236e-06,1.6999999999999993e-05
39,3.517462749579885e-06,1.9000000000000018e-05
40,3.1372645830665484e-06,1.6999999999999993e-05
41,3.528362833780543e-06,1.8e-05
42,3.153442722361723e-06,1.9000000000000018e-05
43,3.6345131343973585e-06,1.6000000000000006e-05
44,3.900580456507314e-06,2.000000000000001e-05
45,3.9668325399008495e-06,1.6999999999999993e-05
46,3.805048712552468e-06,2.000000000000001e-05
47,3.926446046795012e-06,2.000000000000001e-05
48,3.55635705762599e-06,1.8e-05
49,3.5110420639650735e-06,1.6999999999999993e-05
50,209.58376441258997,102.39797200000005
51,562.6505239874407,190.04681900000008
52,410.4664291861124,121.22772799999994
53,355.91693549650034,198.13014500000006
54,282.1251544372546,247.73179799999986
55,269.08532238583837,139.13951899999995
56,298.9002391929841,129.88995699999995
57,236.08283888289472,178.35060800000002
58,387.96010662846527,242.82307299999982
59,227.72252507517553,124.50082999999997
60,216.35187587652686,166.83976999999996
61,121.16041516197599,126.21875300000008
62,360.92660236077774,239.711456
63,265.8328406331054,179.81473100000005
64,575.0814478017982,242.164178
65,278.97064053570114,92.13504400000006
66,145.88434130695117,147.493989
67,490.6910861071544,235.770074
68,187.29216380224594,105.67712399999996
69,200.4504880154855,92.11392500000007
70,229.25183175228509,181.04813900000008
71,334.3343656660993,71.94663399999996
72,162.84245676780716,149.45005399999994
73,120.6631058887627,124.33118999999996
74,260.25920808414907,158.78503199999986
75,234.21517467958466,146.40253900000005
76,264.1587993294918,161.19097400000007
77,314.9909467641727,186.07901499999997
78,246.71081226957176,124.2725609999999
79,522.8377431874648,304.874885
80,156.92935533379801,271.4584139999999
81,239.69184887148364,189.8025779999999
82,112.64961461229198,115.51512000000001
83,207.31050419368324,161.53588500000015
84,216.2970487681905,171.377347
85,168.60876815189997,127.754097
86,158.9122298358992,105.84038899999997
87,199.37390377238629,119.39477100000009
88,328.1429043004593,321.95369599999987
89,269.70444146187145,204.38687300000007
90,289.25959834734533,244.2963959999999
91,318.25511866333113,344.30406800000003
92,145.7441334675285,75.126401
93,212.19202792010267,367.9455510000001
94,199.40726869981964,287.3926659999999
95,283.66623480755555,250.79227100000008
96,349.578401861533,307.94515700000005
97,344.98973639636876,279.5688920000002
98,276.3481316458836,215.39053799999994
99,249.5647084769549,157.03344400000003
100,348.4417946593652,369.68145499999997
101,350.70501884660274,368.31344299999984
102,332.24685627306087,368.39068199999997
103,341.48816703910677,345.1043320000001
104,350.1390906462772,364.3374339999998
105,348.6186579674017,352.821301
106,367.50821291575085,364.193885
107,358.3915549212269,355.06169699999987
108,372.59720698248543,352.6731830000001
109,349.4743107181263,377.48264899999975
110,343.2415933835173,351.13658199999986
111,359.5387891709746,363.21599799999984
112,352.6291567785781,357.7545410000002
113,364.8219075823266,368.7850429999999
114,356.49011571621503,356.00996499999997
115,362.8147308463679,370.7287219999999
116,343.43819669936875,364.79973099999984
117,369.26906759178445,355.6883550000002
118,345.95438479178006,361.7022429999999
119,351.76286105826244,364.86783699999984
120,326.51872079583586,354.984502
121,344.12744713757553,364.75943200000006
122,338.81375062632094,365.63680500000004
123,359.7270291298772,371.16265000000016
124,358.7491707168843,342.61498700000016
125,339.36062367824854,369.98427000000015
126,338.29571525739976,319.95352999999994
127,344.8018446332115,372.072947
128,351.738500727249,382.051449
129,344.47796383669777,372.1772600000002
130,363.6256069270612,381.47147600000005
131,361.85759096998396,357.6610799999999
132,333.7526854366411,360.4651150000002
133,354.00527489215057,367.4246120000001
134,327.0624552323938,371.623028
135,368.03079612710343,370.77578800000015
136,343.95207282461126,355.90261599999997
137,348.553839927411,345.63708199999996
138,347.8245499736809,365.002484
139,359.1458384618342,361.98389999999995
140,352.697992195598,360.50700900000015
141,335.205609949045,365.63402299999996
142,370.18919291462447,345.57588500000014
143,366.51388339075305,363.0587159999997
144,336.9724849549982,364.70789300000007
145,329.1462203715178,368.73616699999985
146,330.80516076480757,381.6013249999998
147,347.94375630431,367.99834600000014
148,337.95187982742874,377.852911
149,350.4411922747325,367.135698
150,4.658134340528837e-06,2.000000000000001e-05
151,187.19133654511418,167.23103400000002
152,0.0009051081249298617,0.002351
153,4.881300121721068e-06,2.000000000000001e-05
154,174.61276246289881,251.15780300000003
155,0.0008087812971119194,0.0022370000000000016
156,5.617235903958235e-06,2.1000000000000002e-05
157,431.2697476372948,398.45709300000027
158,0.0008275713422536709,0.002102
159,6.1146180770888225e-06,2.000000000000001e-05
160,185.32929041726237,252.27838900000003
161,0.0009025042327913902,0.002092999999999999
162,6.0853333126099185e-06,1.8e-05
163,576.7163238563322,735.0655469999997
164,0.0009527011173372735,0.0019600000000000017
165,5.465288976635976e-06,1.9000000000000018e-05
166,640.1523581837889,713.4018030000003
167,0.0008915425725123013,0.0019450000000000008
168,4.782781946251911e-06,1.6999999999999993e-05
169,189.01038558097844,358.48485000000005
170,0.000974008148803988,0.001981999999999999
171,4.814215306245825e-06,2.1000000000000002e-05
172,361.94600487854774,917.4721080000007
173,0.0009680865020543846,0.002075
174,4.019075778919905e-06,2.000000000000001e-05
175,353.6170083499945,515.7718480000002
176,0.0008354772835991694,0.0021310000000000005
177,3.676218683259485e-06,2.1000000000000002e-05
178,251.44770998487337,551.6672199999998
179,0.0008401113240602776,0.0019809999999999984
180,3.7047117011234553e-06,2.000000000000001e-05
181,1125.9685459749603,940.5079760000006
182,0.0008008126303013026,0.001974000000000002
183,3.50856285471764e-06,2.000000000000001e-05
184,888.5342214136107,962.0077390000004
185,0.0008870765714176739,0.0021320000000000015
186,4.21801553254382e-06,2.000000000000001e-05
187,615.2941869294906,922.4517009999994
188,0.000911707738777275,0.001956
189,3.3385018666402066e-06,1.8e-05
190,290.75494162502594,692.5728439999998
191,0.0008688511788405092,0.002019
192,3.2861559545298493e-06,1.9000000000000018e-05
193,367.15944217635575,274.21140699999984
194,0.0008755506155387079,0.0019320000000000012
195,3.419618107230861e-06,1.9000000000000018e-05
196,227.08640137309115,350.6258500000002
197,0.0007960715091525295,0.002081
198,3.7850914734678547e-06,1.6000000000000006e-05
199,419.55283883832806,708.121024
200,334.5077048607102,359.27785800000004
201,0.0004281529676073648,0.000836
202,1.1456930264536354,1.5882700000000007
203,332.93761021043156,376.4645349999998
204,0.0006865733790772192,0.0008109999999999994
205,1.2003425472143496,1.735596999999999
206,361.97899055250247,356.081037
207,0.000405443498073003,0.0008529999999999997
208,1.3911245570910324,1.5427040000000003
209,372.14352760256105,355.49540700000017
210,0.0004517394971605674,0.0010879999999999996
211,1.291043608024089,1.4402180000000009
212,356.93713705017143,363.4453670000001
213,0.0006351087075624521,0.000777
214,1.5231626423947668,1.8927029999999994
215,335.71768740643563,370.73087
216,0.0003976320174519691,0.0010420000000000004
217,1.2172488690381074,1.5539750000000008
218,336.1611055851281,367.19764199999986
219,0.0006116613091705044,0.000785
220,1.1950056706880203,1.6470130000000007
221,363.58538371870594,360.4055019999998
222,0.0003543764202346552,0.0009100000000000003
223,1.598123706895546,1.94829
224,362.5145811181294,343.919036
225,0.0006581277608109004,0.0007719999999999996
226,1.5033473070964922,1.982982
227,367.5811626720772,354.737479
228,0.00038348091142338393,0.000902
229,1.4604606369334083,2.04334
230,342.5182258123006,350.32291400000014
231,0.00035856908549461257,0.0008279999999999996
232,1.4419626847695848,1.6169500000000006
233,352.8652507530368,322.2302099999999
234,0.00035327794337169927,0.0008139999999999998
235,1.3119649997700018,1.701245
236,349.3058304105841,372.40907499999975
237,0.0003600717128647809,0.0010499999999999995
238,1.5303163569820295,1.9195660000000012
239,371.44729521403286,357.97720699999996
240,0.0003218522017914949,0.0008309999999999995
241,1.1868567579117046,1.5466479999999996
242,360.37947729102046,357.1511109999999
243,0.00035480168529726795,0.0008039999999999995
244,1.2106177998972958,1.5749259999999998
245,314.228438128675,348.122122
246,0.00034727229586534923,0.0008179999999999995
247,1.2194394955956644,2.1531080000000014
248,368.20821912097966,371.9846820000002
249,0.00029580447405279283,0.0011040000000000006
250,663.2590772225586,334.167399
251,0.00035468747838911886,0.0012330000000000004
252,11668.711011642652,13268.985739000007
253,337.71713308620434,210.47815799999992
254,0.0007299554910194406,0.001086
255,12162.975241277694,12654.069821
256,143.06461516638686,337.5460930000001
257,0.0007123956286017216,0.0009119999999999997
258,12687.827563484436,12668.745600999993
259,241.03574321554876,465.4352519999998
260,0.0004209764045713012,0.0008739999999999999
261,12469.389870854713,12846.096732000004
262,178.5738990170811,498.53262800000033
263,0.00039437713482519675,0.00085
264,12618.123000231726,11698.764076000001
265,473.93738297412324,476.41061400000024
266,0.000624972993270508,0.0009189999999999998
267,12463.94772284642,13220.875696000001
268,184.8975968480389,66.68441000000003
269,0.0003661153143197408,0.0011980000000000003
270,12512.92027676995,12498.476733000001
271,397.83451096172774,602.8522599999998
272,0.0007533369781760742,0.0010350000000000003
273,12579.448226267503,12095.186464000008
274,369.88813053710544,447.1056260000001
275,0.0003840788838858966,0.0007160000000000002
276,12799.348622814474,12310.551318000007
277,329.5425172977783,280.72753899999975
278,0.00042849500560660316,0.0009450000000000004
279,13070.489645679156,12733.833272000002
280,724.8436792019007,393.063689
281,0.00037115777143624794,0.0007999999999999997
282,12474.163040513737,12070.317117
283,140.14419763081648,382.18327900000014
284,0.0003452537509514316,0.0011730000000000002
285,11827.544684632281,12706.572156000006
286,445.88333424961877,158.94711199999992
287,0.0006451873474944322,0.000836
288,12725.488220422238,12787.819095
289,544.1799417837316,576.3241730000004
290,0.00037047736583564566,0.001224
291,12616.58600292267,12752.528371999992
292,661.0199271629382,503.5197759999997
293,0.00039387331147033855,0.0008909999999999996
294,12623.093026511639,12734.333784
295,750.2581564214954,948.8472670000002
296,0.0006223080002022615,0.0008629999999999995
297,12711.358428375343,12793.620570000008
298,825.6089595737446,540.4091009999997
299,0.0004028198182838986,0.0010299999999999999
300,0.0008775354262732016,0.002265999999999999
301,340.9737206711047,352.62353500000006
302,1.407268323434785,1.8307670000000011
303,0.0008690883352586276,0.0027070000000000006
304,363.9924978536045,344.552162
305,1.4582610206977427,1.925215000000001
306,0.000814019479203972,0.002096
307,346.9553377398781,354.7340449999999
308,1.4097972587793564,1.9937540000000007
309,0.0008678550436816756,0.0020229999999999988
310,360.9261653985788,363.81050900000014
311,1.4721709962622398,1.7526590000000009
312,0.0008447034255112544,0.002154999999999999
313,350.4172100385886,337.40935800000005
314,1.4062761045844625,1.7968309999999994
315,0.0009419772771831407,0.0022220000000000013
316,338.96853365376603,359.06649699999986
317,1.6459508850752462,1.6972680000000007
318,0.0010196940957132898,0.0021590000000000003
319,347.50031025387005,373.22734999999983
320,1.9572774219065896,1.888292
321,0.0009415396317383973,0.002251999999999999
322,354.6385160259812,369.739048
323,1.1385262075021128,2.165298
324,0.0009499921756342585,0.002204999999999999
325,338.7218601327341,372.7560119999999
326,1.7037134987438762,1.928792000000001
327,0.0008767731181311393,0.0019679999999999993
328,356.6088472887926,360.30171800000005
329,1.8277484230109209,2.0196789999999982
330,0.0008185065245959263,0.0021839999999999993
331,348.1777686539612,371.251198
332,1.522641907863607,2.194964999999998
333,0.0008764425644670541,0.0019930000000000013
334,364.6590139082935,352.09935000000024
335,1.2790777620095166,2.103099
336,0.0008533629715674766,0.002063999999999998
337,371.1243121361124,375.71387300000004
338,1.346613634115592,1.422103
339,0.0008329529135784182,0.002151
340,353.42474522226,347.6839870000002
341,1.3656516777948795,1.8696610000000005
342,0.0008919812550238919,0.0022259999999999997
343,346.1626360142121,373.0840559999998
344,1.70431267048031,1.7454260000000004
345,0.0008130984391066853,0.0021629999999999987
346,354.05513240541296,356.70674999999994
347,1.2280430382583447,2.0604950000000013
348,0.0008480741634174116,0.0022580000000000013
349,315.1885904714402,343.341074
350,120.03669587334885,527.1764490000004
351,0.0017090266364255,0.0039320000000000015
352,342.51299461824976,326.08215899999976
353,0.0003101720146909089,0.0008009999999999997
354,2.8278585396912073,2.7675420000000006
355,430.64093650668866,861.8111439999996
356,0.0012321057705092582,0.002928
357,345.67320281066094,360.07880400000005
358,0.00035817917664942764,0.0007589999999999996
359,5.118476157993391,4.826218999999999
360,70.03611577369773,154.39913299999992
361,0.0013668803408608396,0.0034470000000000013
362,346.89615309779055,362.8173170000002
363,0.0006339344677846544,0.0008930000000000005
364,4.38804675402723,4.627022999999998
365,659.4480972214458,604.0531759999999
366,0.0013077283334443912,0.0030889999999999993
367,337.4047141004029,372.69507100000004
368,0.000364597421213068,0.001093
369,3.853368236858468,4.037924000000003
370,48.876224811504926,89.64217999999998
371,0.0014085634632408231,0.0036090000000000007
372,368.78924890906006,359.31785499999995
373,0.0008986032590978706,0.0019930000000000013
374,5.375378660104507,3.3237589999999995
375,949.6433703392471,723.9411450000003
376,0.001397045005135992,0.003502000000000001
377,360.9146750978513,351.7926380000001
378,0.00037172890548869963,0.0007610000000000002
379,2.8528654548534838,3.102279
380,420.2514743981091,981.168554
381,0.0016066925976885157,0.004055000000000002
382,350.80413401606273,353.7374280000002
383,0.0003825248427663852,0.0014329999999999992
384,3.0722396741995586,4.150526
385,694.3728737586363,1476.0626699999996
386,0.0015485997338285707,0.003391000000000001
387,332.0045582210183,374.696301
388,0.0005737512819531202,0.0008419999999999998
389,4.28661624227002,4.022823000000002
390,593.201255103791,524.3680650000002
391,0.0014173049404361334,0.003691
392,364.2512961985437,373.88441099999983
393,0.00035888745109730427,0.0007209999999999996
394,2.669412380190847,4.038448000000002
395,106.69931003651227,176.16456999999994
396,0.0013013496509176232,0.003434999999999998
397,351.1117980616336,367.91128899999984
398,0.00032243825597771204,0.0010879999999999996
399,3.0825866796464267,3.463503000000002
400,784.4570430966287,962.7147499999994
401,0.001285061111672518,0.0036879999999999977
402,363.44150001618425,371.6143929999999
403,0.00037813860428208187,0.0007960000000000005
404,4.156718360222697,4.165086000000001
405,11047.859021306436,9965.100501000006
406,143.9673714531959,158.09643700000007
407,0.001250964909045956,0.003116999999999999
408,337.8485288807053,363.8875360000001
409,0.0003769986982104179,0.0012940000000000007
410,4.322499388705082,3.738067999999999
411,10198.831055006402,10604.069296
412,72.6325086930711,576.331682
413,0.001245956573552783,0.003247
414,339.7828303470894,364.8353380000001
415,0.0005961854440988327,0.0011010000000000004
416,4.786973313473736,3.427909
417,11458.682242154277,10992.751714000007
418,192.19557936219437,339.8934829999999
419,0.0012701929906935008,0.004167000000000001
420,354.52313157211466,366.94639500000017
421,0.000598972439139911,0.0009009999999999998
422,4.2184593096527685,3.7352669999999972
423,11620.421729178453,9874.261555
424,561.3198612796058,1112.7002800000007
425,0.001461543321084206,0.003699999999999999
426,361.11239775803745,365.856511
427,0.00035100491342419476,0.0007449999999999995
428,4.103194105535889,4.349051000000002
429,11218.828489673366,11396.845982
430,384.28279315948134,488.98389200000014
431,0.0012960345870569453,0.003710000000000002
432,370.86200063576524,372.8782229999998
433,0.0008473252113679553,0.0007960000000000005
434,3.628874691370479,3.8930919999999984
435,10900.537695485898,11919.870314
436,413.0154379500349,295.3915290000002
437,0.0014218465887223827,0.003832000000000001
438,356.6727639706076,351.24321500000025
439,0.0008217929150751036,0.0008039999999999995
440,3.229685659848324,3.0288180000000007
441,11013.850540486612,10590.055081999999
442,826.1336577095225,733.2586039999999
443,0.0014569114131342726,0.004058000000000003
444,363.55272071876544,369.47084800000016
445,0.00036780774654993444,0.0012299999999999995
446,2.627498822157769,3.8386689999999986
447,11082.430483103086,11182.694638999996
448,121.9387137568498,128.453489
449,0.0015435128621920017,0.003871
450,0.0010958595150195964,0.0030420000000000017
451,358.75205245635937,361.99103800000006
452,0.00029876608627911195,0.0007890000000000004
453,4.318593735172684,4.535584
454,9628.192297455596,11941.884568999993
455,0.0013132516433215298,0.0034610000000000014
456,342.7983199017778,326.4574119999998
457,0.00038959513789281014,0.0008550000000000005
458,3.5318787036096384,3.9951429999999992
459,9969.223664186604,11480.720229000006
460,0.0015362026108721653,0.004137000000000001
461,357.01519483722575,366.27497899999986
462,0.0003583427957135843,0.0008589999999999997
463,4.454116218633674,4.234099999999999
464,10457.16090961045,11269.983502999998
465,0.0015683113313904743,0.005383
466,339.26900906918456,354.57174499999996
467,0.00038063680462426067,0.0007719999999999996
468,4.263538278362897,3.8360239999999988
469,11312.425995356558,11562.175991999997
470,0.0013785182710296755,0.00322
471,365.0139384936551,367.049771
472,0.0008727529274978662,0.0010030000000000002
473,3.1820995809068355,3.257855000000002
474,9549.096757248628,10430.955064
475,0.0013179275723847362,0.0038819999999999974
476,369.63263465722036,350.1477059999999
477,0.0003395439406474354,0.000836
478,3.076418063385928,3.9196249999999973
479,8917.797692456455,10642.720909999998
480,0.0014189896053423171,0.003854999999999998
481,352.0869376863505,348.78967000000006
482,0.00034800046683293174,0.000785
483,4.323374226480369,4.558554
484,10605.721378748201,10870.824772
485,0.0014137017873045406,0.003569000000000002
486,369.91838089046144,371.8681039999999
487,0.00036409824279135525,0.0007479999999999998
488,3.5979667333105825,4.350938999999998
489,10843.865529641496,11303.126633999991
490,0.0015365169440891614,0.003774
491,345.4275157709911,361.4134849999998
492,0.0006370160389012244,0.0007750000000000002
493,3.8007790684756437,3.9612050000000028
494,8630.840480365774,10533.004726000008
495,0.0019800447047892966,0.004686999999999998
496,340.8127682642628,372.3885470000003
497,0.0004087007318882674,0.000916
498,7.636482937654602,4.432214000000001
499,10679.764082659734,10647.99247
